Record_ID,Exam_Board,Qualification,Subject_Name,Syllabus_Code,Exam_Year_From,Exam_Year_To,Is_Current_In_2026,Is_Latest_Published_Version,Syllabus_PDF_URL,Syllabus_Page_URL,PotatoPapers_Subject_Filter,PotatoPapers_Catalogue_URL,PotatoPapers_Paper_Record_Count,PotatoPapers_Has_Catalogue_Records,Availability_Notes,Source_Verification,Verified_On
caie-igcse-0511-2024-2026,CAIE,Cambridge IGCSE,English as a Second Language (Count-in speaking),0511,2024,2026,true,false,https://www.cambridgeinternational.org/Images/637163-2024-2026-syllabus.pdf,https://www.cambridgeinternational.org/programmes-and-qualifications/cambridge-igcse-english-second-language-count-in-oral-0511/,,,0,false,,HTTP 200 application/pdf,2026-08-29
caie-igcse-0511-2027-2029,CAIE,Cambridge IGCSE,English as a Second Language (Count-in speaking),0511,2027,2029,false,true,https://www.cambridgeinternational.org/Images/721343-2027-2029-syllabus.pdf,https://www.cambridgeinternational.org/programmes-and-qualifications/cambridge-igcse-english-second-language-count-in-oral-0511/,,,0,false,,HTTP 200 application/pdf,2026-08-29
caie-igcse-0993-2024-2026,CAIE,Cambridge IGCSE,English as a Second Language (Speaking Endorsement) (9-1),0993,2024,2026,true,false,https://www.cambridgeinternational.org/Images/637363-2024-2026-syllabus.pdf,https://www.cambridgeinternational.org/programmes-and-qualifications/cambridge-igcse-english-second-language-speaking-endorsement-9-1-0993/,,,0,false,,HTTP 200 application/pdf,2026-08-29
caie-igcse-0993-2027-2029,CAIE,Cambridge IGCSE,English as a Second Language (Speaking Endorsement) (9-1),0993,2027,2029,false,true,https://www.cambridgeinternational.org/Images/721392-2027-2029-syllabus.pdf,https://www.cambridgeinternational.org/programmes-and-qualifications/cambridge-igcse-english-second-language-speaking-endorsement-9-1-0993/,,,0,false,,HTTP 200 application/pdf,2026-08-29
caie-igcse-0510-2024-2026,CAIE,Cambridge IGCSE,English as a Second Language (Speaking endorsement),0510,2024,2026,true,false,https://www.cambridgeinternational.org/Images/637160-2024-2026-syllabus.pdf,https://www.cambridgeinternational.org/programmes-and-qualifications/cambridge-igcse-english-second-language-oral-endorsement-0510/,,,0,false,,HTTP 200 application/pdf,2026-08-29
caie-igcse-0510-2027-2029,CAIE,Cambridge IGCSE,English as a Second Language (Speaking endorsement),0510,2027,2029,false,true,https://www.cambridgeinternational.org/Images/721337-2027-2029-syllabus.pdf,https://www.cambridgeinternational.org/programmes-and-qualifications/cambridge-igcse-english-second-language-oral-endorsement-0510/,,,0,false,,HTTP 200 application/pdf,2026-08-29
caie-igcse-0992-2026-2026,CAIE,Cambridge IGCSE,English – Literature in English (9-1) – 0992,0992,2026,2026,true,false,https://www.cambridgeinternational.org/Images/697264-2026-syllabus.pdf,https://www.cambridgeinternational.org/programmes-and-qualifications/cambridge-igcse-english-literature-0992/,,,0,false,,HTTP 200 application/pdf,2026-08-29
caie-igcse-0992-2027-2027,CAIE,Cambridge IGCSE,English – Literature in English (9-1) – 0992,0992,2027,2027,false,false,https://www.cambridgeinternational.org/Images/721390-2027-syllabus.pdf,https://www.cambridgeinternational.org/programmes-and-qualifications/cambridge-igcse-english-literature-0992/,,,0,false,,HTTP 200 application/pdf,2026-08-29
caie-igcse-0992-2028-2030,CAIE,Cambridge IGCSE,English – Literature in English (9-1) – 0992,0992,2028,2030,false,true,https://www.cambridgeinternational.org/Images/743323-2028-2030-syllabus.pdf,https://www.cambridgeinternational.org/programmes-and-qualifications/cambridge-igcse-english-literature-0992/,,,0,false,,HTTP 200 application/pdf,2026-08-29
caie-igcse-0454-2026-2026,CAIE,Cambridge IGCSE,Enterprise,0454,2026,2026,true,false,https://www.cambridgeinternational.org/Images/697151-2026-syllabus.pdf,https://www.cambridgeinternational.org/programmes-and-qualifications/cambridge-igcse-enterprise-0454/,,,0,false,,HTTP 200 application/pdf,2026-08-29
caie-igcse-0454-2027-2027,CAIE,Cambridge IGCSE,Enterprise,0454,2027,2027,false,false,https://www.cambridgeinternational.org/Images/721305-2027-syllabus.pdf,https://www.cambridgeinternational.org/programmes-and-qualifications/cambridge-igcse-enterprise-0454/,,,0,false,,HTTP 200 application/pdf,2026-08-29
caie-igcse-0454-2028-2028,CAIE,Cambridge IGCSE,Enterprise,0454,2028,2028,false,true,https://www.cambridgeinternational.org/Images/744767-2028-syllabus.pdf,https://www.cambridgeinternational.org/programmes-and-qualifications/cambridge-igcse-enterprise-0454/,,,0,false,,HTTP 200 application/pdf,2026-08-29
caie-igcse-0680-2025-2026,CAIE,Cambridge IGCSE,Environmental Management,0680,2025,2026,true,false,https://www.cambridgeinternational.org/Images/664643-2025-2026-syllabus.pdf,https://www.cambridgeinternational.org/programmes-and-qualifications/cambridge-igcse-environmental-management-0680/,,,0,false,,HTTP 200 application/pdf,2026-08-29
caie-igcse-0680-2027-2029,CAIE,Cambridge IGCSE,Environmental Management,0680,2027,2029,false,true,https://www.cambridgeinternational.org/Images/718156-2027-2029-syllabus.pdf,https://www.cambridgeinternational.org/programmes-and-qualifications/cambridge-igcse-environmental-management-0680/,,,0,false,,HTTP 200 application/pdf,2026-08-29
